iter	Passed	Remaining
0	3	3784
1	7	3868
2	11	3751
3	14	3577
4	17	3422
5	19	3306
6	22	3236
7	25	3168
8	28	3133
9	31	3104
10	34	3068
11	37	3052
12	39	3026
13	42	3001
14	45	2982
15	48	2970
16	51	2958
17	54	2948
18	56	2935
19	59	2923
20	62	2919
21	65	2903
22	68	2899
23	71	2894
24	74	2888
25	77	2886
26	80	2884
27	82	2879
28	85	2875
29	88	2876
30	91	2867
31	94	2864
32	97	2861
33	100	2858
34	103	2849
35	106	2845
36	109	2837
37	112	2840
38	114	2830
39	117	2831
40	120	2828
41	123	2827
42	126	2821
43	129	2820
44	132	2822
45	136	2822
46	139	2821
47	142	2818
48	145	2814
49	148	2813
50	150	2806
51	153	2803
52	156	2802
53	159	2801
54	163	2801
55	166	2798
56	169	2796
57	172	2794
58	175	2791
59	177	2787
60	180	2783
61	184	2784
62	186	2779
63	190	2781
64	193	2777
65	195	2771
66	198	2769
67	201	2764
68	204	2764
69	207	2760
70	210	2759
71	213	2756
72	216	2752
73	219	2749
74	222	2747
75	225	2744
76	228	2741
77	231	2740
78	234	2734
79	237	2732
80	240	2729
81	243	2727
82	246	2726
83	249	2724
84	252	2722
85	255	2718
86	258	2715
87	261	2711
88	264	2710
89	267	2706
90	270	2705
91	273	2703
92	276	2699
93	279	2697
94	282	2695
95	286	2693
96	288	2689
97	291	2685
98	294	2683
99	297	2679
100	300	2678
101	303	2673
102	306	2671
103	309	2668
104	312	2664
105	315	2661
106	318	2656
107	321	2653
108	324	2650
109	327	2648
110	330	2645
111	333	2641
112	335	2635
113	338	2632
114	341	2626
115	344	2625
116	347	2622
117	350	2619
118	353	2615
119	356	2612
120	359	2608
121	362	2605
122	364	2601
123	367	2598
124	370	2595
125	373	2594
126	376	2591
127	379	2588
128	383	2586
129	386	2583
130	389	2580
131	392	2579
132	395	2576
133	398	2573
134	401	2569
135	403	2566
136	407	2563
137	409	2559
138	412	2556
139	415	2552
140	418	2550
141	421	2546
142	424	2542
143	427	2539
144	430	2535
145	432	2532
146	435	2529
147	438	2526
148	441	2524
149	444	2520
150	447	2517
151	450	2513
152	453	2509
153	456	2506
154	459	2503
155	462	2500
156	464	2495
157	467	2492
158	470	2490
159	473	2487
